,ClusterID,N seeds,N genes,SeedIDs,GenesIDs,GeneNames,p-value
0,6,1,13,{143},"{1988, 1829, 141, 143, 1840, 1841, 1842, 179, 19, 1843, 1844, 1845, 1846}","{'DNAJC14', 'COPG1', 'COPG2', 'PDCD6IP', 'ADA', 'RANBP9', 'HRH3', 'ADORA1', 'DRD1', 'PRKACA', 'VPS35', 'RANBP10', 'GHSR'}",0.03755691076600075
1,15,1,14,{72},"{1952, 2337, 3392, 3393, 4059, 71, 72, 2186, 2731, 2732, 2733, 2768, 3803, 1564}","{'TRPM8', 'SLC17A2', 'KCNJ11', 'KCNJ8', 'PCDHAC2', 'IL17RC', 'LDHA', 'PCDHB16', 'FAM63B', 'GDPD5', 'YWHAB', 'ABCC8', 'EXOSC8', 'CDH5'}",0.04314197498784386
2,25,1,15,{222},"{2785, 3799, 939, 1885, 2097, 3409, 2270, 3797, 1654, 2710, 3798, 4020, 93, 222, 1599}","{'AK2', 'LMBR1L', 'RTN1', 'PDZD11', 'ITFG1', 'RNF4', 'CFTR', 'CLN3', 'KCNH2', 'HSCB', 'TCTN3', 'STOM', 'ANK2', 'MOV10', 'SIGMAR1'}",0.049014488987766065
3,29,1,13,{125},"{2716, 1923, 2790, 209, 211, 212, 213, 214, 215, 216, 124, 125, 126}","{'ECE1', 'HSPA5', 'ITSN2', 'ATP6AP2', 'ACE2', 'GSDMB', 'AGT', 'LNPEP', 'RIPK4', 'REN', 'ACE', 'EWSR1', 'NDUFA3'}",0.03755691076600075
4,52,1,10,{1372},"{352, 2178, 2179, 2180, 3913, 1421, 3506, 4024, 2137, 1372}","{'BICD2', 'POT1', 'FARS2', 'TRIM39', 'GAMT', 'TERF1', 'RAB24', 'TAS2R41', 'FSD1', 'BCAR1'}",0.022703677750193774
5,64,1,13,{1405},"{1408, 1409, 1410, 1411, 1412, 1413, 1414, 2219, 1964, 623, 1405, 1406, 1407}","{'AGO3', 'JUNB', 'BDNF', 'NTF4', 'HNRNPH1', 'HAP1', 'GPR152', 'HIST1H1A', 'INPP5K', 'LOC102724334', 'FAM209A', 'F11R', 'NTRK2'}",0.03755691076600075
6,66,1,10,{3837},"{3840, 3841, 3842, 3843, 3844, 1766, 923, 3837, 3838, 3839}","{'GJA8', 'REEP4', 'TMEM43', 'GPD2', 'EMC7', 'SLC8A3', 'PDE3B', 'CSGALNACT2', 'SLC8A2', 'SPPL2B'}",0.022703677750193774
7,68,1,13,{1608},"{2240, 1089, 2147, 1607, 1608, 1613, 2798, 2287, 3505, 3569, 1717, 4124, 3421}","{'CNDP1', 'POMK', 'TM2D2', 'CHRM4', 'HTR3C', 'STARD7', 'PTH1R', 'GABRE', 'UPK1A', 'HAVCR2', 'CHEK1', 'LTB4R2', 'PIGM'}",0.03755691076600075
8,74,1,11,{1324},"{2241, 1826, 3905, 1323, 1324, 2701, 1298, 2706, 2198, 3224, 3484}","{'IQCB1', 'HAX1', 'SYN2', 'DNAAF2', 'ARMC1', 'SYN3', 'YWHAE', 'POLL', 'YWHAZ', 'PSMC3', 'GNB2L1'}",0.027319360957758995
9,77,1,12,{1404},"{1824, 3904, 3591, 3176, 3177, 3178, 3179, 3855, 2897, 4150, 1403, 1404}","{'CKAP4', 'RASD1', 'NOS1', 'SYN1', 'ZDHHC23', 'PRKD1', 'BDKRB2', 'SNTA1', 'NOS1AP', 'SOX2', 'DMD', 'DLG2'}",0.03227668704580366
10,78,1,12,{1466},"{2338, 2339, 2340, 2341, 2342, 2318, 2800, 1715, 2707, 3574, 1465, 1466}","{'MAPK8IP2', 'PTPN1', 'CASP1', 'EGR1', 'CMA1', 'UBE2N', 'IRAK1', 'IL1R1', 'ZNF675', 'LYN', 'SP1', 'IL1B'}",0.03227668704580366
11,84,1,13,{1744},"{1744, 1745, 1746, 1747, 1748, 1749, 1750, 1751, 1752, 1753, 1754, 1756, 1757}","{'KRTAP5-9', 'NBPF19', 'RRAS', 'KRT31', 'CRHR1', 'UBR1', 'CRHR2', 'CYSRT1', 'KRTAP1-5', 'KRTAP1-3', 'KRTAP9-3', 'KRTAP10-8', 'CRH'}",0.03755691076600075
